Table key:
~            = It is possible that this apparent recombination signal could have been caused by an evolutionary
               process other than recombination.
*            = The actual breakpoint position is undetermined (it was most likely either overprinted by a subsequent 
               recombination event or off the edges of the analysed sequence fragments).
$            = This might not be breakpoint - it is likey the edge of a genome segment (possibly exchanged during reassortment)
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant)
Minor Parent = Parent contributing the smaller fraction of sequence.
Major Parent = Parent contributing the larger fraction of sequence.
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.
NS           = No significant P-value was recorded for this recombination event using the particular method in question.

,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to JQ320376-Blattella_germanica_densovirus-like_virus,,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1, 3132, 3360, 2079, 2218, 2575, 2761,ON059824-Copiparvovirus_P206T_pangolin_2018,ON059827-Copiparvovirus_P220T_pangolin_2018,ON059823-Copiparvovirus_P171T_pangolin_2018, 8.91790831563032E-32, 5.68057036755678E-19,NS, 2.57049202479456E-10, 2.59289518680756E-08, 3.62430360769862E-12,NS,NS,NS,
 1,,,,,,,,,ON059828-Copiparvovirus_P229T_pangolin_2018,

 2 ,2, 7042*, 167*, 4913*, 83*, 5020*, 87*,^OP985292-Canine_parvovirus_strain_RCD-PrV_BJF6_red-collared_dove_2018,MT010564-Canine_parvovirus_isolate_CPV-AHhf1,ON024120-Pangolin_protoparvovirus_strain_PPrV_P186T_pangolin_2018, 4.71816758766049E-10, 2.06487615173057E-06,NS, 9.99381128577303E-13, 6.27079152263454E-11, 1.73361891336383E-06,NS,NS, 8.16152877212701E-22,
 2,,,,,,,,,ON024120-Pangolin_protoparvovirus_strain_PPrV_P186T_pangolin_2018,MT010564-Canine_parvovirus_isolate_CPV-AHhf1
 2,,,,,,,,,ON024134-Pangolin_protoparvovirus_strain_PPrV_P108T_pangolin_2018,
 2,,,,,,,,,ON024138-Pangolin_protoparvovirus_strain_PPrV_P151T_pangolin_2018,
 2,,,,,,,,,ON024139-Pangolin_protoparvovirus_strain_PPrV_P160T_pangolin_2018,
 2,,,,,,,,,UN_7D7_2A-Parvoviridae-2,
 2,,,,,,,,,UN_7D11_4O-Parvoviridae-1,

 3 ,3~, 7308, 7741*, 5112, 5258*, 5166, 5166*,^UN_MBA191005-Parvoviridae-1,ON059827-Copiparvovirus_P220T_pangolin_2018,Unknown (MH660909-Canine_parvovirus_2c_strain_5_MGL), 4.62434773564751E-17, 1.02328796067474E-18,NS, 3.65873715906396E-14,NS, 1.84510508435242E-15,NS,NS, 3.81378004732369E-08,
 3,,,,,,,,OP474170-Pangolin_parvovirus_B1,ON059823-Copiparvovirus_P171T_pangolin_2018,Unknown(MF805793-Canine_parvovirus_Canine_China_05_2016)
 3,,,,,,,,,ON059824-Copiparvovirus_P206T_pangolin_2018,Unknown(MN832850-Canine_parvovirus_2c_isolate_Taiwan_2018)
 3,,,,,,,,,ON059828-Copiparvovirus_P229T_pangolin_2018,Unknown(MT010564-Canine_parvovirus_isolate_CPV-AHhf1)
 3,,,,,,,,,MJ_Lymph33-Parvoviridae-1,Unknown(ON024120-Pangolin_protoparvovirus_strain_PPrV_P186T_pangolin_2018)
 3,,,,,,,,,UN_7D7_2A-Parvoviridae-1,Unknown(ON024134-Pangolin_protoparvovirus_strain_PPrV_P108T_pangolin_2018)
 3,,,,,,,,,,Unknown(ON024138-Pangolin_protoparvovirus_strain_PPrV_P151T_pangolin_2018)
 3,,,,,,,,,,Unknown(ON024139-Pangolin_protoparvovirus_strain_PPrV_P160T_pangolin_2018)
 3,,,,,,,,,,Unknown(MP_Mix5-Parvoviridae-1)
 3,,,,,,,,,,Unknown(UN_7D7_2A-Parvoviridae-2)
 3,,,,,,,,,,Unknown(UN_7D11_4O-Parvoviridae-1)

 4 ,4, 78*, 256, 5*, 134, 10*, 150,^OP474154-Pangolin_parvovirus_B7,MJ_Lymph33-Parvoviridae-1,Unknown (ON024120-Pangolin_protoparvovirus_strain_PPrV_P186T_pangolin_2018), 3.0740021852099E-17, 1.60036198966762E-17, 7.64311008899101E-12, 4.84214933307449E-11, 2.63297578801812E-08, 2.25387024936453E-19,NS,NS, 4.30806267337491E-06,
 4,,,,,,,,,ON059823-Copiparvovirus_P171T_pangolin_2018,Unknown(MF805793-Canine_parvovirus_Canine_China_05_2016)
 4,,,,,,,,,ON059824-Copiparvovirus_P206T_pangolin_2018,Unknown(MH660909-Canine_parvovirus_2c_strain_5_MGL)
